Label,Final_Attack_Prediction
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,1
Benign,0
Benign,1
Benign,1
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,1
Benign,1
Benign,1
Benign,1
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
Benign,0
